name,rating,reviews,host_name,address,amenities,safety_rules,house_rules,price,guests,bedrooms,beds,bathrooms,check_in,check_out,country
Perla bungalov,4.71,64.0,Mehmetcan,"Kartepe, Kocaeli, Turkey","Mountain view,Valley view,Lake access,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Nearby lake, river, other body of water,Show more,Show more,","Check-in: Flexible,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed",8078,2,2,2,1,Flexible,12:00 pm,Turkey
Authentic Beach Architect Sheltered Villa with Pool and Jacuzzi,,,Fatih,"Kaş, Antalya, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 4:00 pm - 11:00 pm,Check out: 10:00 am,No smoking,No pets,No parties or events",4665,4,2,2,2,4:00 pm - 11:00 pm,10:00 am,Turkey
cottages sataplia,4.85,68.0,Giorgi,"Imereti, Georgia","Mountain view,Kitchen,Wifi,Dedicated workspace,Free driveway parking on premises,Pets allowed,40"" HDTV with cable/satellite TV,Lift,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: After 1:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed",5991,4,1,1,1,After 1:00 pm,12:00 pm,Georgia
Sapanca Breathable Bungalow,5.0,13.0,Melih,"Sapanca, Sakarya, Turkey","Mountain view,Valley view,Kitchen,Wifi,Free parking on premises,Private pool,42"" HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Security camera/recording device Show more,Nearby lake, river, other body of water,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets",11339,4,1,1,1,After 2:00 pm,12:00 pm,Turkey
Bungalov Ev 2,,,Arp Sapanca,"Sapanca, Sakarya, Turkey","Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Nearby lake, river, other body of water,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets,No parties or events,Show more,Show more,",6673,2,1,1,1,After 2:00 pm,12:00 pm,Turkey
CasaMia White Suite Treehouse,,,Casamia,"Sapanca, Sakarya, Turkey","Lake view,Mountain view,Waterfront,Wifi,Dedicated workspace,Free parking on premises,Private pool,HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,Security camera/recording device Show more,Nearby lake, river, other body of water,Climbing or play structure,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets",14729,2,1,1,1,After 2:00 pm,12:00 pm,Turkey
Ladin Bungalow,,,Stephen,"Kaş, Antalya, Turkey","Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 3:00 pm,Check out: 11:00 am,No smoking,Pets are allowed",12312,2,1,1,1,After 3:00 pm,11:00 am,Turkey
Lavender House,,,Caner,"Akçalı, Giresun, Turkey","Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Indoor fireplace,Hair dryer,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,Self check-in with building staff,No smoking,Pets are allowed,Show more,Show more,",13655,8,1,1,1,Flexible,,Turkey
Prince's,,,Tu,"Thành phố Đà Lạt, Lâm Đồng, Vietnam","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washing machine,Dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,󱠆,Carbon monoxide alarm not reported Show more,Show more,Show more,","Check-in: After 1:00 pm,Check out: 11:00 am,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",1747,2,1,1,1,After 1:00 pm,11:00 am,Vietnam
"The Cottage, Private Pool Villa",4.67,3.0,Sukanya,"Tambon Bang Kachai, Chang Wat Chanthaburi, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,TV,Air conditioning,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Smoke alarm,Show more,Show more,","Check-in: After 3:00 pm,No smoking,No pets",30486,10,4,4,3,After 3:00 pm,,Thailand
"A private pension hut on the hillside of Soklisan Solitary House 1, with a campfire and free firewood for apple trees",4.97,77.0,동현,"Sanoe-myeon, Boeun-gun, North Chungcheong Province, South Korea","Mountain view,Kitchen,Free on-street parking,Central air conditioning,Shared patio or balcony,Hair dryer,Fire pit,쿠잉 115L 레트로 refrigerator,Microwave","󹀁,Airbnb's COVID-19 safety practices apply,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: 3:00 pm - 9:00 pm,Check out: 11:00 am,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events",9052,4,1,1,1,3:00 pm - 9:00 pm,11:00 am,South Korea
